Stakeholder Name,Role,Stakeholder quote related to Fortescue,Translation,Sentiment
[Jason Kururangi](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BV4-RC21-JD34-V01V-00000-00&context=1519360),Portfolio Manager with Milford Asset Management,"""For some investors over the last couple of years, it's just gone into the too-hard basket.""",N.A.,Negative,
[Jason Stone](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CST-3FX1-JD34-V005-00000-00&context=1519360),Administrator,"""To date this has not occurred and proceedings may need to be issued to recover the funds.""",N.A.,Negative,
[Jeff Nelson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BS0-WJY1-DY47-500P-00000-00&context=1519360),Clinical Psychologist,"""They undertook the step, even if the outcome wasn't as successful as they would have liked, they were proactive.""",N.A.,Neutral,
[Jeff Nelson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BT2-WH71-F0J6-J00H-00000-00&context=1519360),Independent witness,"""I am not an advocate for one person ... I really went to great lengths to get information from both sides of this divide.""",N.A.,Positive,
[Joanne Freeze](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DV0-Y203-RV7S-K057-00000-00&context=1519360),Alta Copper's Founder and Former CEO,"""Fortescue flexed its muscle at the Alta Copper annual meeting in June, voting four of the seven directors off the board in a bid to 'accelerate' development of the company's Canariaco copper and gold project in Peru.""",N.A.,Negative,
[Joe Manchin](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F97-4CD3-RSX7-V0D5-00000-00&context=1519360),Democratic Senator,"""I am proud of the work we did in passing the IRA to strengthen America's energy independence. Today, we are producing more fossil and renewable energy than at any point in our history. I have remained steadfast in my commitment to an all-of-the-above energy strategy - one that embraces every resource at our disposal while ensuring economic growth and national security.""",N.A.,Neutral,
[John Hartman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BWM-HP91-F0J6-J01B-00000-00&context=1519360),CEO of Minderoo Foundation,"""Minderoo's capacity to affect meaningful change dramatically increased when the Forrests became the first Australians to sign The Giving Pledge, and generously donated an historic $5 billion to the foundation (last June).""",N.A.,Positive,
[John Hartman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D7G-4JM1-JD3N-50R1-00000-00&context=1519360),CEO of Minderoo,"""We take all matters relating to safety seriously.""",N.A.,Positive,
[John Hennessy SC](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CBR-KY11-JD3N-50V0-00000-00&context=1519360),Lawyer for Element Zero,"""We say the order was improperly obtained, off on the back of what was egregious material non disclosure, and so we don't want it to continue any longer than it must out there in the marketplace.""",N.A.,Negative,
[John Logan](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C6G-6961-JD3N-51KN-00000-00&context=1519360),Federal Court Judge,"""Other affidavits â€¦ give pause for thought about whether, as the Fortescue parties have alleged, there was 'industrial scale misuse', or rather whether what occurred in the obtaining of the search orders, and the obtaining of material upon their execution, was what one might describe as an 'industrial-scale forensic debacle'.""",N.A.,Negative,
[Jon Bishop](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DN9-K1N1-JD34-V0GF-00000-00&context=1519360),Analyst at Jarden,"""The capex numbers assumed in our estimates are anchored to guidance that, beyond FY25, lacks significant granularity and is therefore prone to significant changes in due course. However, in our view, whatever the final numbers are, they are large.""",N.A.,Negative,
[Jon Mills](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BV4-RC21-JD34-V01V-00000-00&context=1519360),Morningstar Mining Equity Analyst,"""Fortescue has been really benefiting recently from a higher iron ore price and lower discounts on it products.""",N.A.,Positive,
[Judith Judson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CGT-2GH1-F0JP-W0D9-00000-00&context=1519360),Former chief executive of Fortescue Zero,"""Last month Judith Judson, chief executive of UK technology company Fortescue Zero - formerly known as Williams Advanced Engineering - stepped down from the role after only 10 months.""",N.A.,Negative,
[Julian Cooke SC](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CNP-WBV1-JC0X-K01C-00000-00&context=1519360),Barrister representing Fortescue,"""It's quite absurd ... they’re completely fishing.""",N.A.,Negative,
[Julian Cooke SC](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CNR-6J61-DYG0-9029-00000-00&context=1519360),Barrister for Fortescue,"""I mean my goodness, the submissions by the respondents in relation to this are just so far-fetched. It really defies logic.""",N.A.,Negative,
[Julie Shuttleworth](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C86-1SD1-F0JP-W2FN-00000-00&context=1519360),Former CEO of Fortescue Energy,"""Long-serving executive Julie Shuttleworth, Mr Hutchinson's predecessor as Fortescue Energy CEO, called time on her 11 years with Fortescue this week.""",N.A.,Negative,
[Julie Shuttleworth](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CNP-G0T1-F0JP-W0Y1-00000-00&context=1519360),Former FFI CEO,"""All of us who serve at FFI, would like to support you and see you successful, Bart, this however will necessitate a substantial behavioural change by you and leads me to our chairman's chief concern, to your failure to be a positive and encouraging leader.""",N.A.,Negative,
[Justin Edwards](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F59-BS03-RTXM-105T-00000-00&context=1519360),Yindjibarndi lawyer,"""The fact that the Yindjibarndi are getting nothing for their Ngurra (Country) from this manjangu (stranger) is a cause of deep spiritual loss.""",N.A.,Negative,
[Kado Muir](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F6B-FPV3-RSJF-42R1-00000-00&context=1519360),National Native Title Council president,"""It is just a poor reflection on their thinking and where they're at.""",N.A.,Negative,
[Kate Chaney](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DC0-PTB1-F0J6-J3VR-00000-00&context=1519360),Teal independent MP,"""This will stay on the agenda... it creates headwinds for decarbonisation that we can't afford to have when we need to make sure Australia doesn't get left behind.""",N.A.,Negative,
[Kim Keogh](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CHN-14S1-JD3N-50VS-00000-00&context=1519360),Not mentioned,"""The Fortescue pullback has punched a mammoth hole in the government's renewable ambitions.""",N.A.,Negative,
[Kolodziejczyk](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D2C-0TD1-F0JP-W12N-00000-00&context=1519360),Former chief technology officer at Fortescue Future Industries,"""The short version of the story is that Fortescue alleged Kolodziejczyk - coldly referred to by the investigation as 'the Subject' - misrepresented his CV and the former chief scientist, in his own affidavit, denied ever doing so.""",N.A.,Negative,
[Lachlan Shaw](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BCW-9W51-DYG0-9005-00000-00&context=1519360),Analyst at UBS,"""This is not unusual seasonally, but we will need to monitor for disruptions over coming months.""",N.A.,Neutral,
[Lachlan Shaw](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BCW-H5V1-DY19-C00H-00000-00&context=1519360),UBS Analyst,"""This is not unusual seasonally, but we will need to monitor for disruptions over coming months.""",N.A.,Neutral,
[Leila Benali](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C4J-FG71-F0JP-W13M-00000-00&context=1519360),Energy Minister of Morocco,"""Benali helped broker during a visit by Forrest and Fortescue to Rabat in February.""","""Benali helped broker during a visit by Forrest and Fortescue to Rabat in February.""",Positive,
[Leila Benali](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C4J-HKB1-JD3N-53PT-00000-00&context=1519360),Moroccan Energy Minister,"""No, no I will not speak.""",N.A.,Negative,
[Leila Benali](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C4S-DR21-JD3N-54KW-00000-00&context=1519360),Morocco's Minister of Energy Transition and Sustainable Development,"""No, no I will not speak.""",N.A.,Neutral,
[Malcolm Turnbull](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B67-1D41-JD34-V01D-00000-00&context=1519360),Former director of Fortescue Future Industries,"""Mr Turnbull declined to elaborate on the exit yesterday.""",N.A.,Negative,
[Malcolm Turnbull](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B84-S591-F0J6-J00W-00000-00&context=1519360),Former prime minister,Not mentioned,N.A.,Neutral,
[Malcolm Turnbull](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B99-G0W1-JD3N-512G-00000-00&context=1519360),Former prime minister and former associate of Fortescue,"""Former prime minister Malcolm Turnbull also formally severing ties with the company.""",N.A.,Negative,
[Mark Barnaba](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CVP-V4H1-JD34-V00J-00000-00&context=1519360),Former lead independent director on Fortescue's board,"""Mark Barnaba will no longer be the lead independent director on the Fortescue board, where he was paid $1.26 million for FY24.""",N.A.,Negative,
[Mark Hutchinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B5X-BYJ1-DY19-C00P-00000-00&context=1519360),Chief Executive of Fortescue's energy division,"""Fortescue's energy division, led by chief executive Mark Hutchinson, is prioritising green hydrogen projects in Brazil, Kenya and Norway for board approval.""",N.A.,Positive,
[Mark Hutchinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B63-X5T1-JD3N-50Y0-00000-00&context=1519360),Fortescue Energy CEO,"""We're working hard to get this project over the line.""",N.A.,Positive,
[Mark Hutchinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BCS-WCX1-JC0X-K0JG-00000-00&context=1519360),Energy Division Chief Executive,"""We have a strong pipeline of projects to come, and we will continue to show the same financial discipline that Fortescue has shown for 20 years.""",N.A.,Positive,
[Mark Hutchinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BDM-4WF1-JD34-V1PF-00000-00&context=1519360),Clean energy boss at Fortescue,"""We are going to maintain our financial discipline.""",N.A.,Positive,
[Mark Hutchinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BRP-H781-DYG0-9004-00000-00&context=1519360),FFI Energy CEO,"""The machines that are produced here are miracle machines.""",N.A.,Positive,
[Mark Hutchinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BW3-PG81-JBJ7-N00N-00000-00&context=1519360),Head of Fortescue Energy division,"""We totally believe we're going to get there.""",N.A.,Positive,
[Mark Hutchinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D84-B9M1-DYDT-829S-00000-00&context=1519360),Chief Executive Officer of Fortescue Future Industries,"""The company continued to make progress on its green energy projects across Australia, the US, Norway and Brazil.""",N.A.,Neutral,
[Mark Hutchinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D8N-1RG1-F0J6-J3BJ-00000-00&context=1519360),CEO of Fortescue's energy business,"""Mr Hutchinson did not respond for a fortnight when asked by The Australian Financial Review whether Alpha's messages were at odds with Fortescue's stated values.""",N.A.,Negative,
[Mark Hutchison](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CV5-VDK1-JD3N-50VP-00000-00&context=1519360),Energy Chief of Fortescue,"""We are only focused on those projects which are economically viable.""",N.A.,Positive,
[Mark Vassella](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CHF-2211-JD3N-50XY-00000-00&context=1519360),CEO of BlueScope,"""I couldn't find a commercial case for hydrogen to be used in the blast furnace.""",N.A.,Negative,
[Mauro Neves](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C20-TFW1-JD3N-510M-00000-00&context=1519360),Managing Director at Incitec Pivot,"""I'm sure they have been doing the numbers.""",N.A.,Neutral,
[Michael Gunner](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B7D-CND1-DYG0-901J-00000-00&context=1519360),Former Northern Territory Chief Minister,"""Working for Andrew and Fortescue was an incredible opportunity - a dynamic company with a bold green energy vision.""",N.A.,Positive,
[Michael Gunner](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B7K-SHB1-F0JP-W0NG-00000-00&context=1519360),Former Chief Minister and Australian Director at Fortescue,"""Working for Andrew and Fortescue was an incredible opportunity - a dynamic company with a bold green energy vision.""",N.A.,Positive,
[Michael Gunner](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B7K-SHB1-F0JP-W11C-00000-00&context=1519360),Former Northern Territory chief minister and former director at Fortescue,"""Working for Andrew and Fortescue was an incredible opportunity - a dynamic company with a bold green energy vision. I will always be a friend of the Fortescue family and an advocate for Fortescue and the path they are forging.""",N.A.,Positive,
[Michael Gunner](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B99-G0W1-JD3N-512G-00000-00&context=1519360),Former Head of Northern Australia at Fortescue Energy,"""Initially appointed as Fortescue Energy's Head of Northern Australia in late 2022, Mr Gunner finished his period with Fortescue as the head of business development for Australia and New Zealand.""",N.A.,Neutral,
[Michael Liebreich](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CJK-Y6G1-F0J6-J2R8-00000-00&context=1519360),Clean energy advocate,"""expectations have raced far ahead of reality""",N.A.,Negative,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B4R-7561-JD34-V01G-00000-00&context=1519360),Former Fortescue executive,"""There became a point in time where, for me, [there were] too many time zones; let's come back and focus.""",N.A.,Neutral,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B7P-TTX1-JD34-V00W-00000-00&context=1519360),Former CFO of Fortescue's clean energy division,Not mentioned,N.A.,Neutral,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BT7-8X41-DY19-C0GV-00000-00&context=1519360),Chief Executive of Element Zero,"""The entire industry has enormous commercial pressures, shareholder pressures and goodwill to find technology solutions that can reduce the carbon emissions from converting iron ore into iron.""",N.A.,Neutral,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C6G-6961-JD3N-51KN-00000-00&context=1519360),Long-term lieutenant of Andrew Forrest,"""Fortescue's claims were 'spurious' and 'entirely without merit'.""",N.A.,Negative,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C71-7VB1-JD34-V01F-00000-00&context=1519360),Former Executive at Fortescue,"""Element Zero believes this legal action is entirely without merit and welcomes the opportunity to respond to Fortescue's spurious claims.""",N.A.,Negative,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CBR-KY11-JD3N-50V0-00000-00&context=1519360),"Former Fortescue lieutenant, now Element Zero director","""He revealed that key customers in Asia had directly questioned the merits of using hydrogen to make steel, arguing that Element Zero's technology would be far more energy efficient than rival green steel techniques that involved the use of hydrogen.""",N.A.,Negative,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CGT-2GH1-F0JP-W0D9-00000-00&context=1519360),Former lieutenant of Andrew Forrest at Fortescue,"""Fortescue has accused the pair - along with another former employee, Bjorn Winther-Jensen - of using proprietary Fortescue information to form their own green iron technology company.""",N.A.,Negative,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CS8-3TS1-JD3N-50R2-00000-00&context=1519360),Long-term Andrew Forrest lieutenant,"""The fact is you can't undo what's been done.""",N.A.,Negative,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CSX-1D41-F0JP-W13G-00000-00&context=1519360),Former Fortescue lieutenant,"""The surveillance reports indicate that surveillance was conducted on Mr Masterman's residential premises in Sydney and Perth, as well as surveillance on Mr Masterman personally.""",N.A.,Negative,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D3W-7Y31-JC0X-K0J4-00000-00&context=1519360),"Chief Executive of Element Zero, former key role at Fortescue","""During that time, neither Mr Forrest nor any of the other Fortescue bosses he spoke with raised any concerns about the technology being used by Element Zero, he said.""",N.A.,Negative,
[Michael Masterman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DHK-1K71-F0JP-W34Y-00000-00&context=1519360),Co-founder of Element Zero,"""This represented massive overreach by Fortescue.""",N.A.,Negative,
[Michael Myer](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C29-WP91-F0J6-J19C-00000-00&context=1519360),Chairman of Sunshine Hydro,"""It will also lower the cost of energy for every single Australian by making green hydrogen competitive with fossil fuels, spurring massive renewable energy projects in sparsely populated regions where employment is needed most.""",N.A.,Positive,
[Michael Myer](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CH8-N411-JBN5-F00M-00000-00&context=1519360),Sunshine Hydro Executive Chairman,"""I noted the commentary from the chairman of Fortescue saying that they're focusing now on the production of renewable and clean energy, and that's the right place to start.""",N.A.,Positive,
[Michael Williams](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CG0-K8J1-DY19-C1HV-00000-00&context=1519360),"Partner at Gilbert + Tobin, representing Element Zero","""I had serious concerns about the material that was relied on by Fortescue to secure the warrant from the Federal Court.""",N.A.,Negative,
[Michael Woodley](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BT2-WH71-F0J6-J00H-00000-00&context=1519360),Leader of YAC,"""A fair-minded listener could reasonably conclude from listening to this audio recording that your evidence is not impartial, but that you've become an advocate for the cause of the party that's retained you.""",N.A.,Negative,
[Michael Woodley](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CBM-RYP1-JD34-V01K-00000-00&context=1519360),Chief Executive of Yindjibarndi Ngurra Aboriginal Corporation,"""We want the EPA to report on the adequacy of the implementation conditions of the Solomon iron ore project and their capacity to avoid, minimise, rehabilitate and offset its impacts to our land, water and cultural heritage.""",N.A.,Negative,
[Michael Woodley](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F61-JR93-RW39-62BD-00000-00&context=1519360),Leader of the Yindjibarndi people,"""On the assumption that there are 1000 people in the Yindjibarndi community, this amount would compensate each Yindjibarndi person $1 million.""",N.A.,Negative,
[Michael Woodley](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F6K-B9N3-RWP6-M48F-00000-00&context=1519360),Chair and lead applicant of Yindjibarndi Ngurra Aboriginal Corporation,"“If resource developments are coming on to our land, then they’ll have to acknowledge that now the courts have established there is a certain percentage of royalties or resource benefit [to traditional owners].”",N.A.,Positive,
[Mike Henry](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F67-HVF3-RT3D-D4M1-00000-00&context=1519360),BHP chief executive,"""I was seeing early signs of recovery in the Chinese economy.""",N.A.,Positive,
[Minh Le](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CHH-8D81-JBNF-W3HS-00000-00&context=1519360),Global Head of Hydrogen for Rystad Energy,"""As things stand at the moment it will be very challenging, if not almost impossible to reach $2 [US] for green hydrogen.""",N.A.,Negative,
[Murray Meaton](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BTD-HM91-DYG0-901T-00000-00&context=1519360),Economics Consulting Services director,"""What if you owned a residential lot that was suitable for a single house?""",N.A.,Neutral,
[Murray Meaton](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BTM-W481-JC0X-K02C-00000-00&context=1519360),Director at Economics Consulting Services,"""I can't imagine anyone would look at this land and ignore the potential to which this land could have, which is the mining of that iron ore.""",N.A.,Positive,
[Murray Watt](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F2D-2J73-RTBV-40WP-00000-00&context=1519360),Employment and Workplace Relations Minister,"""We want mining companies to do well, but we want mining workers to do well. It's their hard work that delivers the profits for these companies.""",N.A.,Positive,
[Nicola Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C5H-FK81-F0J6-J042-00000-00&context=1519360),Shareholder of Fortescue,"""The pair remain in furious agreement on their commitment to the Giving Pledge.""",N.A.,Positive,
[Nicola Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D6V-71H1-JD3N-54MT-00000-00&context=1519360),Co-founder of Minderoo and related to Fortescue,"""We couldn't be more proud of what has been achieved over the past 23 years and, with Minderoo's 2030 strategy now finalised and being implemented, it is the right time for change on the board.""",N.A.,Positive,
[Nigel Rambhujun](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CHH-8D81-JBNF-W3HS-00000-00&context=1519360),Analyst at Rystad Energy,"""Without significant government support, green hydrogen will continue to be the most expensive hydrogen colour.""",N.A.,Negative,
[Noel Pearson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CMD-MKR1-JD3N-516S-00000-00&context=1519360),Non-executive director at Fortescue,"""Fortescue is a proud Australian company that is led by its values from mine site to the boardroom - something I have great respect for.""",N.A.,Positive,
[Noel Pearson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CMY-M951-JD34-V012-00000-00&context=1519360),Board Member,"""Fortescue is a proud Australian company that is led by its values from mine site to boardroom - something I have great respect for.""",N.A.,Positive,
[Oliver Weiss](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B6S-BKX1-DYDT-800G-00000-00&context=1519360),"Liebherr executive vice president of R&D, engineering and manufacturing","""Liebherr is delighted that Fortescue has chosen to collaborate with Liebherr in our joint efforts to accelerate the pathway to a mining future without fossil fuels.""",N.A.,Positive,
[Patrick Gibbons](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CJK-Y6G1-F0J6-J2R8-00000-00&context=1519360),Former diplomat and partner at corporate advisory firm Orizontas,"""Fortescue's about-face reflects the bigger challenge of decarbonising its Pilbara mining operations""",N.A.,Negative,
[Paul Browning](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F37-Y8C3-RSV7-72XK-00000-00&context=1519360),Former President of Fortescue's North American clean energy unit,Not mentioned,N.A.,Neutral,
[Paul Browning](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F97-4CD3-RSX7-V0D5-00000-00&context=1519360),Former North American energy president at Fortescue,"""We pursued Energy Harbor at AF's [Andrew Forrest's] request based on his Manchin relationship, but there are plenty of other retiring coal assets we can pursue in areas with better renewable resource.""",N.A.,Negative,
[Paul Dewar](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CN2-J4P1-F0JP-W0V7-00000-00&context=1519360),Senior Lawyer at Davies Collison Cave,"""Fortescue engaged a private investigator firm, Lancasters Investigations, with the aim of establishing the identity and location of each of the respondents to the search order application.""",N.A.,Negative,
[Paul Flynn](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CKF-V011-JD34-V06G-00000-00&context=1519360),Whitehaven Coal managing director,"""Inflationary pressures remained 'rife' despite rising unemployment.""",N.A.,Negative,
[Paul McTaggart](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BD3-5881-F0JP-W1VC-00000-00&context=1519360),Citi analyst,"""Citi analyst Paul McTaggart said the results had beaten analyst consensus estimates of a $US5.6bn EBITDA and a $1.04 dividend.""",N.A.,Positive,
[Paul Middleton](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B4V-5361-F0JP-W13G-00000-00&context=1519360),Chief Financial Officer of Plug Power,"""Plug was confident it could raise debt to cover its obligations.""",N.A.,Neutral,
[Paul Young](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CK4-TCF1-JD3N-5118-00000-00&context=1519360),Analyst at Goldman Sachs,"""We continue to think Fortescue is at an inflection point on capital allocation, and to fund the ambitious strategy, we assume the company reduces the dividend payout ratio from the current 65 per cent in the second half of FY24 to about 50 per cent from FY25 onwards - the bottom end of the 50 to 80 per cent guidance.""",N.A.,Negative,
[Peter Barrett](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B5T-3681-F0J6-J017-00000-00&context=1519360),Director of Universal Hydrogen,"""But it ain't.""",N.A.,Negative,
[Peter Veth](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D7G-4JM1-JD3N-50V7-00000-00&context=1519360),Archaeologist,"""the oldest known for the Pilbara and indeed the entire arid zone of Australia""",N.A.,Negative,
[Phil McKeiver](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CMJ-3BK1-DY19-C008-00000-00&context=1519360),Chief General Counsel at Fortescue,"""Not mentioned.""",N.A.,Neutral,
[Phil McKeiver](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CNX-DXC1-F0JP-W51R-00000-00&context=1519360),Senior internal Fortescue lawyer,"""We were able to get a close internal view of the facility using a minute covert camera during the surveillance period.""",N.A.,Negative,
[Rahul Anand](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CTF-10M1-JD34-V02H-00000-00&context=1519360),Equity analyst at Morgan Stanley,"""Although a rebound in iron ore prices will benefit all iron ore miners, it is likely to benefit higher-cost miners more.""",N.A.,Negative,
[Rebecca Tomkinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CNK-HVC1-F0J6-J00J-00000-00&context=1519360),WA Chamber of Minerals and Energy Chief Executive,"""We need governments to be making bold decisions, big investment decisions now.""",N.A.,Positive,
[Rebecca Tomkinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CR9-9511-JD34-V2Y3-00000-00&context=1519360),CMEWA Chief Executive,"""Any levers that could further increase operational costs and uncertainty will jeopardise our investment attractiveness and need to be carefully considered by all parties.""",N.A.,Negative,
[Richard Coppleson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CT7-1VB1-F0J6-J54Y-00000-00&context=1519360),Bell Potter strategist,"""Asian hedge funds have been aggressively shorting Australian resource stocks as a proxy for what they expect to see from China - weak growth.""",N.A.,Negative,
[Rita Saffioti](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CH8-N411-JBN5-F00M-00000-00&context=1519360),Western Australia's Deputy Premier,"""In relation to the future, I think the work will continue on providing the technology and making sure it is viable in the future.""",N.A.,Positive,
[Robert Lancaster](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CHN-14S1-JD3N-50VM-00000-00&context=1519360),Private Investigator hired by Fortescue,"""In the 80s when you were on the team you were either an assaulter or a sniper. I did both jobs. The weapon of choice was the L96A1.""",N.A.,Neutral,
[Robert Rennie](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CTF-10M1-JD34-V02H-00000-00&context=1519360),Head of commodity and carbon strategy at Westpac,"""If we do see iron ore back into the late $US90s, we want to sell it again for that coming drop into the $US80s.""",N.A.,Negative,
[Robert Tichio](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B61-2B81-JD34-V017-00000-00&context=1519360),Fortescue Capital executive,"""No one will unmoor the chairman, he's an extraordinary visionary. I wouldn’t have come to do this if I didn’t believe in the way that he sets out a vision, particularly in categories that are unmarked, that are uncharted.""",N.A.,Positive,
[Robert Tichio](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F52-MKG3-RVBC-G4PR-00000-00&context=1519360),Leader of Fortescue Capital,"""But also in need of a market update is the progress of Forrest's green fundraising arm, Fortescue Capital, which, since its 2023 launch under the guidance of Robert Tichio, has built up a leadership group of no less than eight managing directors - all lured away from well-paid gigs at investment banks.""",N.A.,Negative,
[Robert Tichio](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F5R-20G3-RS3T-5366-00000-00&context=1519360),Fortescue Capital boss,"""No suggestion of any wrongdoing by Tichio.""",N.A.,Neutral,
[Robin Griffin](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C20-TFW1-JD3N-510M-00000-00&context=1519360),Metals and Mining Research Head at WoodMac,"""Australian producers in the critical mineral space are likely to continue to need help from taxpayers to combat cheap credit, low energy costs, (and) supportive policies in other jurisdictions.""",N.A.,Negative,
[Rod Sims](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CJ0-1JP1-F0J6-J519-00000-00&context=1519360),Leader of the Superpower Institute,"""He could be helping Australia to start a $300 billion industry.""",N.A.,Positive,
[Roger Cook](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BC3-71Y1-DY19-C18H-00000-00&context=1519360),WA Premier,"""The nickel industry supported almost 10,000 jobs, and generated sales of more than $5 billion last financial year.""",N.A.,Positive,
